date,is_festive_season,festival_name,harvest_season_type
2020_09_02,1,None,Kharif Harvest
2020_09_03,1,None,Kharif Harvest
2020_09_04,1,None,Kharif Harvest
2020_09_05,1,None,Kharif Harvest
2020_09_06,1,None,Kharif Harvest
2020_09_07,1,None,Kharif Harvest
2020_09_08,1,None,Kharif Harvest
2020_09_09,1,None,Kharif Harvest
2020_09_10,1,None,Kharif Harvest
2020_09_11,1,None,Kharif Harvest
2020_09_12,1,None,Kharif Harvest
2020_09_13,1,None,Kharif Harvest
2020_09_14,1,None,Kharif Harvest
2020_09_15,1,None,Kharif Harvest
2020_09_16,1,None,Kharif Harvest
2020_09_17,1,None,Kharif Harvest
2020_09_18,1,None,Kharif Harvest
2020_09_19,1,None,Kharif Harvest
2020_09_20,1,None,Kharif Harvest
2020_09_21,1,None,Kharif Harvest
2020_09_22,1,None,Kharif Harvest
2020_09_23,1,None,Kharif Harvest
2020_09_24,1,None,Kharif Harvest
2020_09_25,1,None,Kharif Harvest
2020_09_26,1,None,Kharif Harvest
2020_09_27,1,None,Kharif Harvest
2020_09_28,1,None,Kharif Harvest
2020_09_29,1,None,Kharif Harvest
2020_09_30,1,None,Kharif Harvest
2020_10_01,1,None,Kharif Harvest
2020_10_02,1,Mahatma Gandhi's Jayanti,Kharif Harvest
2020_10_03,1,None,Kharif Harvest
2020_10_04,1,None,Kharif Harvest
2020_10_05,1,None,Kharif Harvest
2020_10_06,1,None,Kharif Harvest
2020_10_07,1,None,Kharif Harvest
2020_10_08,1,None,Kharif Harvest
2020_10_09,1,None,Kharif Harvest
2020_10_10,1,None,Kharif Harvest
2020_10_11,1,None,Kharif Harvest
2020_10_12,1,None,Kharif Harvest
2020_10_13,1,None,Kharif Harvest
2020_10_14,1,None,Kharif Harvest
2020_10_15,1,None,Kharif Harvest
2020_10_16,1,None,Kharif Harvest
2020_10_17,1,None,Kharif Harvest
2020_10_18,1,None,Kharif Harvest
2020_10_19,1,None,Kharif Harvest
2020_10_20,1,None,Kharif Harvest
2020_10_21,1,None,Kharif Harvest
2020_10_22,1,None,Kharif Harvest
2020_10_23,1,None,Kharif Harvest
